id,timestamp,name,userId,input,output,latency,inputTokens,outputTokens,totalTokens,status,model,error
"gen_020","2025-01-17T08:30:00Z","chat_completion","user_110","{""messages"":[{""role"":""system"",""content"":""You are a chef.""},{""role"":""user"",""content"":""Recipe for pasta""}]}","{""role"":""assistant"",""content"":""Here's a simple pasta recipe:\n1. Boil water\n2. Add pasta...""}","2.05","45","78","123","success","gpt-4o",""
"gen_021","2025-01-17T09:15:00Z","chat_completion","user_101","{""messages"":[{""role"":""user"",""content"":""What time is it?""}]}","{""role"":""assistant"",""content"":""I don't have access to real-time information.""}","0.55","25","15","40","success","gpt-4o-mini",""
"gen_022","2025-01-17T10:00:00Z","chat_completion","user_107","{""messages"":[{""role"":""user"",""content"":""Explain blockchain""}]}","{""role"":""assistant"",""content"":""Blockchain is a distributed ledger technology...""}","2.88","28","125","153","success","gpt-4o",""
"gen_023","2025-01-17T11:30:00Z","chat_completion","user_102","{""messages"":[{""role"":""user"",""content"":""Fix this bug""}]}","","0.00","18","0","18","error","gpt-4o-mini","content_filter"
"gen_024","2025-01-17T13:00:00Z","chat_completion","user_108","{""messages"":[{""role"":""system"",""content"":""You are a fitness coach.""},{""role"":""user"",""content"":""Create a workout plan""}]}","{""role"":""assistant"",""content"":""Here's a beginner workout plan:\nMonday: Cardio...""}","2.42","52","95","147","success","gpt-4o",""
"gen_025","2025-01-17T14:45:00Z","chat_completion","user_104","{""messages"":[{""role"":""user"",""content"":""Compare React vs Vue""}]}","{""role"":""assistant"",""content"":""React and Vue are both popular frontend frameworks...""}","2.15","32","110","142","success","gpt-4o",""
"gen_026","2025-01-17T16:30:00Z","chat_completion","user_109","{""messages"":[{""role"":""user"",""content"":""Hello again""}]}","{""role"":""assistant"",""content"":""Hello! Nice to see you again. How can I help?""}","0.62","22","16","38","success","gpt-4o-mini",""
"gen_027","2025-01-17T18:00:00Z","chat_completion","user_105","{""messages"":[{""role"":""system"",""content"":""You are a lawyer.""},{""role"":""user"",""content"":""Explain copyright""}]}","{""role"":""assistant"",""content"":""Copyright is a form of intellectual property protection...""}","2.68","48","135","183","success","gpt-4o",""
"gen_028","2025-01-17T19:30:00Z","chat_completion","user_110","{""messages"":[{""role"":""user"",""content"":""Random fact""}]}","{""role"":""assistant"",""content"":""Honey never spoils. Archaeologists found 3000-year-old honey in Egyptian tombs.""}","0.95","22","25","47","success","gpt-4o-mini",""
"gen_029","2025-01-18T08:00:00Z","chat_completion","user_103","{""messages"":[{""role"":""user"",""content"":""Weather today?""}]}","{""role"":""assistant"",""content"":""I cannot access real-time weather data.""}","0.48","22","12","34","success","gpt-4o-mini",""
"gen_030","2025-01-18T09:45:00Z","chat_completion","user_106","{""messages"":[{""role"":""system"",""content"":""You are a data scientist.""},{""role"":""user"",""content"":""Explain p-value""}]}","{""role"":""assistant"",""content"":""A p-value is the probability of obtaining results at least as extreme...""}","2.25","55","88","143","success","gpt-4o",""
"gen_031","2025-01-18T11:15:00Z","chat_completion","user_101","{""messages"":[{""role"":""user"",""content"":""Thanks for your help""}]}","{""role"":""assistant"",""content"":""You're welcome! Feel free to ask if you need anything else.""}","0.58","28","18","46","success","gpt-4o-mini",""
"gen_032","2025-01-18T13:00:00Z","chat_completion","user_107","{""messages"":[{""role"":""user"",""content"":""Generate UUID""}]}","","0.00","22","0","22","error","gpt-4o","service_unavailable"
"gen_033","2025-01-18T14:30:00Z","chat_completion","user_108","{""messages"":[{""role"":""user"",""content"":""Difference between SQL and NoSQL""}]}","{""role"":""assistant"",""content"":""SQL databases are relational and use structured schemas...""}","2.55","35","142","177","success","gpt-4o",""
"gen_034","2025-01-18T16:00:00Z","chat_completion","user_109","{""messages"":[{""role"":""system"",""content"":""You are a historian.""},{""role"":""user"",""content"":""Tell me about WW2""}]}","{""role"":""assistant"",""content"":""World War 2 was a global conflict from 1939 to 1945...""}","3.15","48","185","233","success","gpt-4o",""
"gen_035","2025-01-18T17:45:00Z","chat_completion","user_104","{""messages"":[{""role"":""user"",""content"":""Best practices for API design""}]}","{""role"":""assistant"",""content"":""Key API design best practices include:\n1. Use REST conventions...""}","2.42","35","125","160","success","gpt-4o",""
"gen_036","2025-01-18T19:30:00Z","chat_completion","user_110","{""messages"":[{""role"":""user"",""content"":""Goodbye""}]}","{""role"":""assistant"",""content"":""Goodbye! Have a great day!""}","0.42","18","10","28","success","gpt-4o-mini",""
"gen_037","2025-01-19T08:15:00Z","chat_completion","user_102","{""messages"":[{""role"":""system"",""content"":""You are a financial advisor.""},{""role"":""user"",""content"":""Investment tips""}]}","{""role"":""assistant"",""content"":""Here are some general investment principles:\n1. Diversify...""}","2.85","55","145","200","success","gpt-4o",""
"gen_038","2025-01-19T09:45:00Z","chat_completion","user_105","{""messages"":[{""role"":""user"",""content"":""Explain Docker""}]}","{""role"":""assistant"",""content"":""Docker is a containerization platform that packages applications...""}","2.12","28","95","123","success","gpt-4o",""
"gen_039","2025-01-19T11:30:00Z","chat_completion","user_103","{""messages"":[{""role"":""user"",""content"":""Write unit test""}]}","{""role"":""assistant"",""content"":""Here's a simple unit test example in Python using pytest...""}","1.95","28","85","113","success","gpt-4o",""
"gen_040","2025-01-19T13:00:00Z","chat_completion","user_106","{""messages"":[{""role"":""user"",""content"":""Async vs sync""}]}","{""role"":""assistant"",""content"":""Synchronous code executes sequentially, blocking until complete...""}","1.78","25","78","103","success","gpt-4o",""
"gen_041","2025-01-19T14:30:00Z","chat_completion","user_108","{""messages"":[{""role"":""user"",""content"":""Help""}]}","","0.00","15","0","15","error","gpt-4o-mini","invalid_request"
"gen_042","2025-01-19T16:15:00Z","chat_completion","user_101","{""messages"":[{""role"":""system"",""content"":""You are a music expert.""},{""role"":""user"",""content"":""Recommend jazz albums""}]}","{""role"":""assistant"",""content"":""Here are some essential jazz albums:\n1. Kind of Blue...""}","2.32","52","115","167","success","gpt-4o",""
"gen_043","2025-01-19T18:00:00Z","chat_completion","user_107","{""messages"":[{""role"":""user"",""content"":""What is REST API?""}]}","{""role"":""assistant"",""content"":""REST (Representational State Transfer) is an architectural style...""}","1.85","32","88","120","success","gpt-4o",""
"gen_044","2025-01-19T19:45:00Z","chat_completion","user_109","{""messages"":[{""role"":""user"",""content"":""Generate password""}]}","{""role"":""assistant"",""content"":""Here's a strong password suggestion: Kj9#mP2$xL5@nQ8""}","0.72","25","22","47","success","gpt-4o-mini",""
"gen_045","2025-01-20T08:30:00Z","chat_completion","user_104","{""messages"":[{""role"":""user"",""content"":""Explain SOLID principles""}]}","{""role"":""assistant"",""content"":""SOLID is an acronym for five design principles...""}","2.95","32","165","197","success","gpt-4o",""
"gen_046","2025-01-20T10:00:00Z","chat_completion","user_110","{""messages"":[{""role"":""system"",""content"":""You are a translator.""},{""role"":""user"",""content"":""Translate: I love coding""}]}","{""role"":""assistant"",""content"":""Thai: ฉันรักการเขียนโค้ด""}","1.15","52","18","70","success","gpt-4o",""
"gen_047","2025-01-20T11:30:00Z","chat_completion","user_102","{""messages"":[{""role"":""user"",""content"":""Debug this code""}]}","","0.00","28","0","28","error","gpt-4o","rate_limit_exceeded"
"gen_048","2025-01-20T13:15:00Z","chat_completion","user_105","{""messages"":[{""role"":""user"",""content"":""Explain git rebase""}]}","{""role"":""assistant"",""content"":""Git rebase is a way to integrate changes from one branch to another...""}","1.92","32","92","124","success","gpt-4o",""
"gen_049","2025-01-20T15:00:00Z","chat_completion","user_103","{""messages"":[{""role"":""system"",""content"":""You are a product manager.""},{""role"":""user"",""content"":""Write user story""}]}","{""role"":""assistant"",""content"":""As a user, I want to... so that I can...""}","1.45","52","35","87","success","gpt-4o",""
"gen_050","2025-01-20T16:45:00Z","chat_completion","user_106","{""messages"":[{""role"":""user"",""content"":""Thank you!""}]}","{""role"":""assistant"",""content"":""You're welcome! Happy to help!""}","0.38","18","10","28","success","gpt-4o-mini",""
